黃,振德,male,,2022/4/20,ICT,02-23457431,admin@mail.deep.com,,研究所,,ICT
余,又任,male,,2022/4/21,ICT,02-23457432,cchuang@mail.deep.com,,研究所,,ICT
吳,珊蓮,female,,2022/4/22,general,02-23457433,sunlandwu@mail.deep.com,,研究所,,企業管理、財務金融
趙,利連,othersex,,2022/4/23,maketing,02-23457434,Leelandchao@mail.deep.com,,研究所,,市場行銷
伍,聯莊,male,,2022/4/24,marketing,02-23457435,landchuangwu@mail.deep.com,,研究所,,市場行銷
韓,士瑜,female,,2022/4/25,HR,02-23457436,shihyuhan@mail.deep.com,,研究所,,HR
游,仕安,female,,2022/4/26,experrtize,02-23457437,shihanyou@mail.deep.com,,研究所,,語文
于,本仁,male,,2022/4/27,experrtize,02-23457438,benrenyu@mail.deep.com,,研究所,,設計
韓,修仁,male,,2022/4/28,ICT,02-23457439,cchuang2@mail.deep.com,,大學,,ICT
王,達明,male,,2022/4/29,experrtize,02-23457440,Darmin@mail.deep.com,,研究所,,機械工程
葉,士俺,male,,2022/4/30,ICT,02-23457441,hsan2001@mail.deep.com,,研究所,,ICT
韓,仕伍,male,,2022/5/1,HR,02-23457442,hsuwuhan@mail.deep.com,,大學,,HR
錢,久名,male,,2022/5/2,general,02-23457443,jominchen@mail.deep.com,,大學,,公共關係
拾,進位,male,,2022/5/3,support,02-23457444,jiweihsu@mail.deep.com,,大學,,企業管理
賴,士萬,male,,2022/5/4,board,02-23457445,hsuwanlai@mail.deep.com,,研究所,,法律
于,繼緒,male,,2022/5/5,support,02-23457446,jisheju@mail.deep.com,,大學,,會計
